feature,importance
4_mean3,0.19556002147119866
0_mean3,0.19414503288087656
13_mean3,0.18426106191701636
14_mean3,0.1704633160607575
6_mean3,0.16926436989004617
6_diff1,0.037239876960195345
8_mean3,0.02393920809521011
8,0.012717502901654137
13_diff1,0.01240960982304525
4_diff1,0.0
5_mean3,0.0
5_diff1,0.0
7_mean3,0.0
7_diff1,0.0
-1,0.0
8_diff1,0.0
9_mean3,0.0
3_diff1,0.0
10_mean3,0.0
10_diff1,0.0
11_mean3,0.0
11_diff1,0.0
12_mean3,0.0
12_diff1,0.0
9_diff1,0.0
3_mean3,0.0
0,0.0
2_diff1,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
-1_mean3,0.0
-1_diff1,0.0
0_diff1,0.0
1_mean3,0.0
1_diff1,0.0
2_mean3,0.0
14_diff1,0.0
