feature,importance
12_mean5,0.05436596809257347
5_mean5,0.05102771788744464
3_mean5,0.049408707534621774
0_mean5,0.04286462736161046
4_mean5,0.03987905778374918
-1_mean5,0.03901243470632876
10_mean5,0.035919657628041966
14_mean5,0.034040929028368194
13_mean5,0.033385514721486036
2_mean5,0.032272591902120076
11_mean5,0.03177533083944426
7_mean5,0.031596494086293184
6_mean5,0.030596016343960347
1_mean5,0.02837064216067365
8_mean5,0.024824175705699395
9_mean5,0.021341611000976222
-1,0.01879086808829587
1,0.018475288019200935
3,0.01847077126795798
13,0.016698590188918828
-1_diff1,0.016417880174284433
14_diff1,0.016360791575116745
0,0.016054910460615798
13_diff1,0.015336125458590297
14,0.014235446698943617
10,0.01421991733617893
3_diff1,0.013630565975757656
4,0.01335203431512834
5_diff1,0.013344618084185618
1_diff1,0.013175538328100225
6_diff1,0.012457337182727237
12,0.012303659026680833
0_diff1,0.012131646708591038
5,0.011983171606617644
12_diff1,0.011785188497235493
9_diff1,0.011678202117119398
2,0.011575517142504085
8_diff1,0.011199153919242465
2_diff1,0.011171943629673322
11_diff1,0.011073778400667004
10_diff1,0.011054038126134171
6,0.010833025413918366
11,0.010683720122912172
7,0.010452096755449735
4_diff1,0.010187707366206613
9,0.010161429610605859
7_diff1,0.010075431026543338
8,0.009948130592504472
